time_s,voltage_V
1.556866601100000e-08,-88.153879863
1.577351688000000e-08,-87.797205169
1.597836774800000e-08,-87.394261556
1.618321861700000e-08,-86.957568117
1.638806948500000e-08,-86.499669040
1.659292035400000e-08,-86.033029378
1.679777122300000e-08,-85.569933333
1.700262209100000e-08,-85.122385790
1.720747296000000e-08,-84.702017800
1.741232382800000e-08,-84.319996693
1.761717469700000e-08,-83.986941430
1.782202556500000e-08,-83.712843792
1.802687643400000e-08,-83.506995920
1.823172730300000e-08,-83.377924689
1.843657817100000e-08,-83.333333333
1.864142904000000e-08,-83.380050673
1.884627990800000e-08,-83.523988247
1.905113077700000e-08,-83.770105578
1.925598164500000e-08,-84.122383735
1.946083251400000e-08,-84.583807293
1.966568338200000e-08,-85.156354728
1.987053425100000e-08,-85.840997210
2.007538512000000e-08,-86.637705703
2.028023598800000e-08,-87.545466201
2.048508685700000e-08,-88.562302889
2.068993772500000e-08,-89.685308936
2.089478859400000e-08,-90.910684589
2.109963946200000e-08,-92.233782168
2.130449033100000e-08,-93.649157514
2.150934120000000e-08,-95.150627414
2.171419206800000e-08,-96.731332452
2.191904293700000e-08,-98.383804726
2.212389380500000e-08,-100.100039821
2.232874467400000e-08,-101.871572405
2.253359554200000e-08,-103.689554800
2.273844641100000e-08,-105.544837844
2.294329728000000e-08,-107.428053360
2.314814814800000e-08,-109.329697549
2.335299901700000e-08,-111.240214605
2.355784988500000e-08,-113.150079857
2.376270075400000e-08,-115.049881781
2.396755162200000e-08,-116.930402184
2.417240249100000e-08,-118.782693949
2.437725336000000e-08,-120.598155697
2.458210422800000e-08,-122.368602792
2.478695509700000e-08,-124.086334125
2.499180596500000e-08,-125.744194166
2.519665683400000e-08,-127.335629808
2.540150770200000e-08,-128.854741578
2.560635857100000e-08,-130.296328827
2.581120944000000e-08,-131.655928591
2.601606030800000e-08,-132.929847830
2.622091117700000e-08,-134.115188841
2.642576204500000e-08,-135.209867682
2.663061291400000e-08,-136.212625505
2.683546378200000e-08,-137.123032760
2.704031465100000e-08,-137.941486283
2.724516552000000e-08,-138.669199345
2.745001638800000e-08,-139.308184791
2.765486725700000e-08,-139.861231466
2.785971812500000e-08,-140.331874160
2.806456899400000e-08,-140.724357376
2.826941986200000e-08,-141.043593257
2.847427073100000e-08,-141.295114070
2.867912159900000e-08,-141.485019672
2.888397246800000e-08,-141.619920438
2.908882333700000e-08,-141.706876149
2.929367420500000e-08,-141.753331393
2.949852507400000e-08,-141.767048016
2.970337594200000e-08,-141.756035248
2.990822681100000e-08,-141.728478065
3.011307767900000e-08,-141.692664429
3.031792854800000e-08,-141.656912020
3.052277941700000e-08,-141.629495073
3.072763028500000e-08,-141.618571950
3.093248115400001e-08,-141.632114055
3.113733202200000e-08,-141.677836674
3.134218289100000e-08,-141.763132342
3.154703375900000e-08,-141.895007271
3.175188462800000e-08,-142.080021378
3.195673549700000e-08,-142.324232398
3.216158636500000e-08,-142.633144553
3.236643723400000e-08,-143.011662186
3.257128810200000e-08,-143.464048749
3.277613897100000e-08,-143.993891457
3.298098983900001e-08,-144.604071917
3.318584070800001e-08,-145.296742939
3.339069157700000e-08,-146.073311722
3.359554244500000e-08,-146.934429545
3.380039331400000e-08,-147.879988019
3.400524418200000e-08,-148.909121932
3.421009505100001e-08,-150.020218636
