# He+ + He ion cross sections (energy column: relative/CM energy)
# Source: Phelps database, www.lxcat.net, retrieved 21 Aug 2026
# Reference: A. V. Phelps, J. Appl. Phys. 76, 747 (1994) / private communication
# backscat: backscattering (charge-transfer-like), isotropic: isotropic elastic
process,energy_eV,sigma_m2
isotropic,3.100000e-02,4.333550e-19
isotropic,3.700000e-02,3.966650e-19
isotropic,4.400000e-02,3.637460e-19
isotropic,5.200000e-02,3.345980e-19
isotropic,6.200000e-02,3.064280e-19
isotropic,7.400000e-02,2.804840e-19
isotropic,8.800000e-02,2.572070e-19
isotropic,1.000000e-01,2.412820e-19
isotropic,1.200000e-01,2.202590e-19
isotropic,1.400000e-01,2.039200e-19
isotropic,1.600000e-01,1.907500e-19
isotropic,1.900000e-01,1.750440e-19
isotropic,2.200000e-01,1.626720e-19
isotropic,2.600000e-01,1.496370e-19
isotropic,3.100000e-01,1.370390e-19
isotropic,3.700000e-01,1.254360e-19
isotropic,4.400000e-01,1.150270e-19
isotropic,5.200000e-01,1.058090e-19
isotropic,6.200000e-01,9.690110e-20
isotropic,7.400000e-01,8.869690e-20
isotropic,8.800000e-01,8.133610e-20
isotropic,1.000000e+00,7.630000e-20
isotropic,1.200000e+00,6.965210e-20
isotropic,1.400000e+00,6.448530e-20
isotropic,1.600000e+00,6.032040e-20
isotropic,1.900000e+00,5.535380e-20
isotropic,2.200000e+00,5.144140e-20
isotropic,2.600000e+00,4.731930e-20
isotropic,3.100000e+00,4.333550e-20
isotropic,3.700000e+00,3.966650e-20
isotropic,4.400000e+00,3.637460e-20
isotropic,5.200000e+00,3.345980e-20
isotropic,6.200000e+00,3.064280e-20
isotropic,7.400000e+00,2.804840e-20
isotropic,8.800000e+00,2.572070e-20
isotropic,1.000000e+01,2.412820e-20
isotropic,1.200000e+01,2.202590e-20
isotropic,1.400000e+01,2.039200e-20
isotropic,1.600000e+01,1.907500e-20
isotropic,1.900000e+01,1.750440e-20
isotropic,2.200000e+01,1.626720e-20
isotropic,2.600000e+01,1.496370e-20
isotropic,3.100000e+01,1.370390e-20
isotropic,3.700000e+01,1.254360e-20
isotropic,4.400000e+01,1.150270e-20
isotropic,5.200000e+01,1.058090e-20
isotropic,6.200000e+01,9.690110e-21
isotropic,7.400000e+01,8.869690e-21
isotropic,8.800000e+01,8.133610e-21
isotropic,1.000000e+02,7.630000e-21
isotropic,1.200000e+02,6.965210e-21
isotropic,1.400000e+02,6.448530e-21
isotropic,1.600000e+02,6.032040e-21
isotropic,1.900000e+02,5.535380e-21
isotropic,2.200000e+02,5.144140e-21
isotropic,2.600000e+02,4.731930e-21
isotropic,3.100000e+02,4.333550e-21
isotropic,3.700000e+02,3.966650e-21
isotropic,4.400000e+02,3.637460e-21
isotropic,5.200000e+02,3.345980e-21
isotropic,6.200000e+02,3.064280e-21
isotropic,7.400000e+02,2.804840e-21
isotropic,8.800000e+02,2.572070e-21
isotropic,1.000000e+03,2.412820e-21
isotropic,1.200000e+03,2.202590e-21
isotropic,1.400000e+03,2.039200e-21
isotropic,1.600000e+03,1.907500e-21
isotropic,1.900000e+03,1.750440e-21
isotropic,2.100000e+03,1.665000e-21
isotropic,2.600000e+03,1.496370e-21
isotropic,3.100000e+03,1.370390e-21
isotropic,3.700000e+03,1.254360e-21
isotropic,4.400000e+03,1.150270e-21
isotropic,5.200000e+03,1.058090e-21
isotropic,6.200000e+03,9.690110e-22
isotropic,7.400000e+03,8.869690e-22
isotropic,8.800000e+03,8.133610e-22
isotropic,1.000000e+04,7.630000e-22
